area,link,location,name,number_of_bathrooms,number_of_bedrooms,price_per_metter
44,https://meeyland.com//gap-ha-chao-500tr-ban-cuc-gap-nha-hoang-quoc-viet-phan-lo-o-to-kinh-doanh-44m-gia-9-5-ty-1700313560797,"Cầu Giấy, Hà Nội","Gấp, hạ chào 500 triệu, bán cực gấp nhà Hoàng Quốc Việt, phân lô, ô tô, kinh doanh, 44m2, giá 9,5 tỷ",,4,"215,91 Tr/m²"
80,https://meeyland.com//nha-dep-don-tet-binh-tri-dong-binh-tan-hxh-80m2-4-tang-nhinh-5-ty-1700313243630,"Bình Tân, Hồ Chí Minh","Nhà đẹp đón tết, Bình Trị Đông - Bình Tân, hẻm xe hơi diện tích 80m2",4,4,"72,5 Tr/m²"
52,https://meeyland.com//ban-nha-van-duong-19-5-vi-tri-vang-52m2-5-8-ty-1700312996502,"Hà Đông, Hà Nội","Bán nhà Văn Quán - Đường 19/5, vị trí vàng, 52m2, 5,8 tỷ",,,"111,54 Tr/m²"
52,https://meeyland.com//ban-nha-4-tang-van-canh-gan-duong-3-5-dan-xay-mat-tien-4m-no-hau-dien-tich-52m2-hon-3-ty-1700312771574,"Hoài Đức, Hà Nội","Bán nhà 4 tầng Vân Canh, gần đường 3.5, dân xây, mặt tiền 4m nở hậu, diện tích 52m2, giá hơn 3 tỷ",3,3,"70,17 Tr/m²"
80,https://meeyland.com//sieu-vip-pho-giai-phong-phan-lo-o-to-6-tang-thang-may-80m-x-6t-gia-21-ty-1700312515319,"Hai Bà Trưng, Hà Nội","Siêu vip phố Giải Phóng, phân lô ô tô, 6 tầng, thang máy, 80m2 x 6 tầng, giá 21 tỷ",4,6,"262,5 Tr/m²"
55,https://meeyland.com//ban-nha-hoang-quoc-viet-lo-goc-o-to-vao-nha-55m2-6-tang-mat-tien-7-1m-12-5-ty-1700311755693,"Cầu Giấy, Hà Nội","Bán nhà Hoàng Quốc Việt lô góc ô tô vào nhà 55m2 6 tầng mặt tiền 7.1m 12,5 tỷ",6,6,"227,27 Tr/m²"
50,https://meeyland.com//ban-nha-dep-cau-giay-50m2-5-tang-mt-4-3m-40m-ra-oto-5-ty-1700311912130,"Cầu Giấy, Hà Nội","Bán nhà đẹp Cầu Giấy 50m2 x 5 tầng, mặt tiền 4,3m, 40m ra ôtô, 5 tỷ",4,3,100 Tr/m²
55,https://meeyland.com//ban-nha-van-quan-duong-lam-vi-tri-vang-55m2-6-2ty-1700311665568,"Hà Đông, Hà Nội","Bán nhà Văn Quán - Dương Lâm, vị trí vàng, 55m2, 6,2 tỷ",,,"112,73 Tr/m²"
55,https://meeyland.com//ban-nha-photran-phu-vi-tri-vang-kinh-doanh-cac-kieu-55m2-5-2ty-1700311567196,"Hà Đông, Hà Nội","Bán nhà phố Trần Phú, vị trí vàng, kinh doanh các kiểu 55m2, 5,2 tỷ",,,"94,55 Tr/m²"
60,https://meeyland.com//ban-nha-kdt-xa-la-vi-tri-vang-kinh-doanh-bat-chap-60m2-8-5-ty-1700311523857,"Hà Đông, Hà Nội","Bán nhà khu đô thị Xa La, vị trí vàng kinh doanh bất chấp, 60m2, 8,5 tỷ",,,"141,67 Tr/m²"
30,https://meeyland.com//ban-nha-moi-dep-pho-thanh-dam-quan-hoang-mai-dt-30m2-4-tang-mt-4m-gia-3-08-ty-1700311469440,"Hoàng Mai, Hà Nội","Bán nhà mới đẹp phố Thanh Đàm quận Hoàng Mai, diện tích 30m2, 4 tầng, mặt tiền 4m",3,3,"102,67 Tr/m²"
55,https://meeyland.com//ban-nha-mat-an-hoa-mo-lao-trung-tam-kinh-doanh-bat-chap-dt-55m2-8-2-ty-1700311469813,"Hà Đông, Hà Nội","Bán nhà mặt An Hòa - Mỗ Lao, trung tâm, kinh doanh bất chấp diện tích 55m2, giá 8,2 tỷ",,,"149,09 Tr/m²"
55,https://meeyland.com//ban-nha-mat-ao-sen-mo-lao-trung-tam-kinh-doanh-nhon-nhip-ngay-dem-55m2-8-8-ty-1700311424308,"Hà Đông, Hà Nội","Bán nhà mặt Ao Sen - Mỗ Lao, trung tâm, kinh doanh nhộn nhịp ngày đêm 55m2, 8,8 tỷ",,,160 Tr/m²
100,https://meeyland.com//ban-nha-pho-dai-an-nha-to-thoang-sang-lo-goc-100m2-9ty-1700311324347,"Hà Đông, Hà Nội","Bán nhà phố Đại An nhà to thoáng sáng lô góc 100m2, 9 tỷ",,,90 Tr/m²
82,https://meeyland.com//ban-nha-luong-ngoc-quyen-vi-tri-vang-kinh-doanh-dinh-82m2-11-5-ty-1700311279453,"Hà Đông, Hà Nội","Bán nhà Lương Ngọc Quyến vị trí vàng, kinh doanh đỉnh 82m2, 11,5 tỷ",,,"140,24 Tr/m²"
74,https://meeyland.com//ban-nha-cong-lo-phuong-15-tan-binh-dt-74m2-x-2-tang-5-8-6-9-x-11-5-gia-5-3-ty-tl-1700311253547,"Tân Bình, Hồ Chí Minh","Bán nhà Cống Lở, Phường 15, Tân Bình DT: 74m2 x 2 tầng ( 5.8/6.9 x 11.5 ) Giá: 5.3 tỷ TL",4,4,"71,62 Tr/m²"
22,https://meeyland.com//ban-nha-chu-dong-tu-phuong-7-tan-binh-dt-22m2-x-2-tang-3-3-1-x-7-gia-3-5-ty-tl-1700324982276,"Tân Bình, Hồ Chí Minh","Bán nhà Chử Đồng Tử, Phường 7, Tân Bình 22m2, 2 tầng. Giá 3,5 tỷ",2,1,"159,09 Tr/m²"
40,https://meeyland.com//ca-n-ba-n-nha-pho-dong-nga-c-40m2-6t-lo-go-c-nha-de-p-ga-n-pho-ta-ng-no-i-tha-t-ve-o-ngay-1700324722304,"Bắc Từ Liêm, Hà Nội","Cần bán nhà phố Đông Ngạc 40m2, 6 tầng, lô góc, nhà đẹp gần phố, tặng nội thất, về ở ngay",5,4,"88,75 Tr/m²"
33,https://meeyland.com//ca-n-ba-n-ma-nh-da-t-va-ng-pho-co-nhue-33m2-co-nha-c4-ta-ng-gpxd-hon-2-ty-1700324370980,"Bắc Từ Liêm, Hà Nội","Cần bán mảnh đất vàng phố Cổ Nhuế 33m2, có nhà cấp 4 tặng giấy phép xây dựng, giá 2,5 tỷ",1,1,"75,76 Tr/m²"
75,https://meeyland.com//ban-nha-lien-ke-phung-khoang-ngo-thong-2-o-to-tranh-vua-o-vua-lam-van-phong-15-ty-1700323985476,"Nam Từ Liêm, Hà Nội","Bán nhà liền kề Phùng Khoang, ngõ thông 2 ô tô tránh, vừa ở vừa làm văn phòng, 15 tỷ",6,4,200 Tr/m²
260,https://meeyland.com//pho-khuc-thua-du-can-goc-2-mat-tien-dt-khung-260m2-phu-hop-xay-building-8t-kd-vp-gia-7x-ty-1684767171327,"Cầu Giấy, Hà Nội","Phố Khúc Thừa Dụ, căn góc 2 mặt tiền, diện tích khủng 260m2 kinh doanh văn phòng, giá 7x tỷ",,,"303,85 Tr/m²"
28,https://meeyland.com//nha-dat-kim-giang-1700323595236,"Hoàng Mai, Hà Nội",Nhà đất Kim Giang,4,3,"127,86 Tr/m²"
46,https://meeyland.com//mat-pho-dai-an-van-quan-ha-dong-rat-hiem-de-ban-46m2x5t-nhinh-8-ty-mua-ngay-1700323002864,"Hà Đông, Hà Nội","Mặt phố Đại An, Văn Quán, Hà Đông, rất hiếm để bán, 46m2, 5 tầng",4,6,"181,52 Tr/m²"
37,https://meeyland.com//duy-nhat-mat-pho-kinh-doanh-dai-an-van-quan-ha-dong-37m2-chi-8-3-ty-1700322750435,"Hà Đông, Hà Nội","Duy nhất mặt phố kinh doanh Đại An, Văn Quán, Hà Đông 37m2 chỉ 8,3 tỷ",4,5,"224,32 Tr/m²"
41,https://meeyland.com//ban-nha-hem-xe-tai-an-duong-vuong-binh-tri-dong-binh-tan-dt-41m2-x-4-tang-4-x-10-5-gia-4-99-1700322371441,"Bình Tân, Hồ Chí Minh","Bán nhà hẻm xe tải, An Dương Vương, Bình Trị Đông, Bình Tân 41m2, 4 tầng. Giá 4,99 tỷ",3,4,"121,71 Tr/m²"
78,https://meeyland.com//can-ban-gap-sieu-pham-phan-lo-mai-dich-78m2-5t-mat-tien-rong-o-to-tai-tranh-kinh-doanh-20-8-ty-1661098496213,"Cầu Giấy, Hà Nội","Cần bán gấp nhà phân lô Mai Dịch, Cầu Giấy 78m2, 5 tầng, 2 mặt ngõ, ô tô tránh, vỉa hè",5,8,"266,67 Tr/m²"
45,https://meeyland.com//nha-dep-lung-linh-o-ngay-don-tet-can-ban-gap-nha-xuan-la-45m2-5t-mat-tien-rong-gan-o-to-tranh-1668875946755,"Tây Hồ, Hà Nội","cần bán gấp nhà Xuân La 45m2, 5t, mặt tiền rộng, đẹp lung linh về ở ngay, gần mặt phố,gần ô tô tránh",7,6,"151,11 Tr/m²"
55,https://meeyland.com//can-ban-cuc-gap-sieu-pham-phan-lo-tran-quoc-hoan-55m2-4t-o-to-tranh-nha-dep-o-to-tranh-kinh-doanh-1663169612813,"Cầu Giấy, Hà Nội","Cần bán cực gấp siêu phẩm phân lô Trần Quốc Hoàn, 55m2, 4 tầng, ô tô tránh, nhà đẹp, kinh doanh",3,4,"241,82 Tr/m²"
48,https://meeyland.com//can-tien-ban-gap-nha-tran-quoc-hoan-48m2-6t-phan-lo-2-mat-ngo-o-to-tranh-gara-o-to-10-5-ty-1652887748060,"Cầu Giấy, Hà Nội","Cần tiền bán gấp nhà Trần Quốc Hoàn 48m2, 6T, phân lô, 2 mặt ngõ ô tô tránh, gara ô tô. Giá 10,5 tỷ",5,5,"218,75 Tr/m²"
52,https://meeyland.com//giam-1-ty-can-ban-gap-nha-pho-phan-van-truong-52m2-5t-lo-goc-o-to-tranh-noi-that-xin-15-2-ty-1663170630446,"Cầu Giấy, Hà Nội","Giảm 1 tỷ, cần bán gấp nhà phố Phan Văn Trường, 52m2, 5 tầng, lô góc, ô tô tránh, nội thất xịn",4,4,"292,31 Tr/m²"
44,https://meeyland.com//hiem-ban-nha-minh-phung-quan-11-2-tang-44m2-phap-ly-chuan-1700321763869,"Quận 11, Hồ Chí Minh","Bán nhà Minh Phụng, Quận 11 - 2 tầng - 44m2 pháp lý chuẩn",2,2,"81,82 Tr/m²"
40,https://meeyland.com//5-85-ty-hoa-bang-40m-x-5-tang-x-mt-4-5-dan-xay-ngo-nong-thong-tu-tung-o-to-do-cua-kinh-doanh-1700321498993,"Cầu Giấy, Hà Nội","5,85 tỷ Hoa Bằng, 40m2, 5 tầng, mặt tiền 4,5m, dân xây ngõ nông thông tứ tung ô tô đỗ cửa kinh doanh",4,3,"146,25 Tr/m²"
60,https://meeyland.com//can-ban-nha-hxh-5m-thong-nhat-p-11-go-vap-giam-chao-700-1700320832458,"Gò Vấp, Hồ Chí Minh","Cần bán nhà hẻm xe hơi 5m Thống Nhất, Phường 11, Gò Vấp, giảm chào 700 triệu",4,4,85 Tr/m²
395,https://meeyland.com//sieu-bt-395m2-tai-hoa-sua-11-vinhomes-riverside-long-bien-1700320790489,"Long Biên, Hà Nội","Siêu biệt thự 395m2 tại Hoa Sữa 11 Vinhomes Riverside, Long Biên",5,5,"275,95 Tr/m²"
57,https://meeyland.com//nha-ban-o-ngay-4-tang-duong-so-51-hiep-binh-chanh-ngang-hiem-5-2m-hxt-1700320260885,"Thủ Đức, Hồ Chí Minh","Nhà bán ở ngay 4 tầng đường số 51 Hiệp Bình Chánh ngang hiếm 5,2m",5,4,"103,51 Tr/m²"
75,https://meeyland.com//h-chuyen-nha-quan-10-dang-gap-ban-75m2-gia-chi-8-ty-hon-ngang-lon-gan-5m-lh-ngay-1700319967382,"Quận 10, Hồ Chí Minh","Chuyên nhà Quận 10 - Đang gấp bán 75m2 giá chỉ 8 tỷ hơn, ngang lớn gần 5m",3,4,108 Tr/m²
57,https://meeyland.com//a3131-ban-nha-chinh-chu-cmt8-quan-3-57m2-gia-chi-6-5-ty-1700297099839,"Quận 3, Hồ Chí Minh","Bán nhà chính chủ Cách Mạng Tháng 8, Quận 3, 57m2, giá chỉ 6,5 tỷ",4,4,"114,04 Tr/m²"
32,https://meeyland.com//hxh-8m-ban-nha-lac-long-quan-quan-11-5-tang-thang-may-gia-5-ty-nhinh-1700296799390,"Quận 11, Hồ Chí Minh","Bán nhà Lạc Long Quân Quận 11, 5 tầng thang máy giá 5,34 tỷ",,,"166,88 Tr/m²"
30,https://meeyland.com//nha-dep-trung-phung-30m2-4-tang-truoc-nha-rong-4m-canh-truong-hoc-trung-phung-gia-nhinh-3-ty-1700296400299,"Đống Đa, Hà Nội","Nhà đẹp Trung Phụng 30m2, 4 tầng, trước nhà rộng 4m, cạnh trường học Trung Phụng, giá nhỉnh 3 tỷ",,,"123,33 Tr/m²"
50,https://meeyland.com//ban-nha-phan-dinh-giot-thanh-xuan-nha-dep-ngo-nong-gan-pho-dt50m2x6t-chi-5-8-ty-1700296051005,"Thanh Xuân, Hà Nội","Bán nhà Phan Đình Giót, Thanh Xuân, nhà đẹp, ngõ nông, gần phố, 50m2 x 6 tầng, chỉ 5.8 tỷ",,,116 Tr/m²
33,https://meeyland.com//yeu-nha-dung-si-tk-ngay-cd-thuong-mai-cach-duong-30m-2-tang-kiet-thong-1-3x-ty-1700296282750,"Thanh Khê, Đà Nẵng","Nhà Dũng Sĩ Thanh Khê ngay cao đẳng Thương Mại, cách đường 30m, 2 tầng kiệt thông, 1,35 tỷ",2,2,"40,91 Tr/m²"
30,https://meeyland.com//cuc-hiem-mat-ngo-kinh-doanh-ngay-dem-o-to-tranh-1700296174438,"Hà Đông, Hà Nội",Cực hiếm - mặt ngõ - kinh doanh ngày đêm - ô tô tránh,2,2,"206,67 Tr/m²"
35,https://meeyland.com//ban-nha-xuan-phuong-pho-trinh-van-bo-35m-5-tang-o-to-do-full-noi-that-1700295506669,"Nam Từ Liêm, Hà Nội","Bán nhà Xuân Phương, phố Trịnh Văn Bô 35m2, 5 tầng, ô tô đỗ, full nội thất",3,4,"82,86 Tr/m²"
18,https://meeyland.com//hot-hot-nha-tran-van-dang-p11-q3-dt-18m2-gia-2ty4-con-tl-1700295080148,"Quận 3, Hồ Chí Minh","Hot hot nhà Trần Văn Đang, Phường 11, Quận 3, diện tích 18m2 giá 2,4 tỷ còn thương lượng",1,2,"133,33 Tr/m²"
52,https://meeyland.com//mat-ngo-191-minh-khai-dt-52m-mat-tien-6m-kinh-doanh-tap-nap-o-to-vao-nha-1700293580071,"Hai Bà Trưng, Hà Nội","Mặt ngõ 191 Minh Khai diện tích 52m mặt tiền 6m kinh doanh tấp nập, ô tô vào nhà",4,3,"228,85 Tr/m²"
190,https://meeyland.com//ban-toa-2-mt-ong-ich-khiem-q-11-7x30m-ham-6-lau-hdt-200tr-net-gia-65-ty-1700293519619,"Quận 11, Hồ Chí Minh",Bán tòa 2 mặt tiền Ông Ích Khiêm Quận 11,,,"342,11 Tr/m²"
54,https://meeyland.com//ban-nha-dan-xay-kien-co-yen-phuc-ha-dong-o-to-do-cua-dien-tich-54m-gia-7-4-ty-co-tl-1700293557558,"Hà Đông, Hà Nội","Bán nhà dân xây kiên cố Yên Phúc, Hà Đông, ô tô đỗ cửa, diện tích 54m2, giá 7,4 tỷ có thương lượng",2,3,"137,04 Tr/m²"
62,https://meeyland.com//ban-nha-3-tang-2-mat-kiet-o-to-k388-duong-to-hieu-1700293394008,"Liên Chiểu, Đà Nẵng",Chính chủ cần bán nhà 3 tầng 2 mặt kiệt ô tô K388 đường Tô Hiệu,3,3,
60,https://meeyland.com//nha-4-tang-hem-xe-hoi-tranh-gan-truong-th-thach-lam-5-7-ty-1700293318776,"Tân Phú, Hồ Chí Minh","Nhà 4 tầng hẻm xe hơi tránh, gần Trường Tiểu học Thạch Lam, 5,7 tỷ",4,4,95 Tr/m²
100,https://meeyland.com//mat-ngo-kinh-doanh-pho-minh-khai-dt-100m-mat-tien-8m-gia-15-9-ty-1700293080203,"Hai Bà Trưng, Hà Nội","Mặt ngõ kinh doanh phố Minh Khai diện tích 100m2 mặt tiền 8m giá 15,9 tỷ",7,6,159 Tr/m²
62,https://meeyland.com//chinh-chu-can-ban-nha-3-tang-2-mat-kiet-o-to-k388-duong-to-hieu-1700292865787,"Liên Chiểu, Đà Nẵng",Chính chủ cần bán nhà 3 tầng 2 mặt kiệt ô tô K388 đường Tô Hiệu,3,3,"60,48 Tr/m²"
57,https://meeyland.com//ban-nha-ngo-130-hoang-van-thai-57m-mt-3-6m-chi-8-ty-ngo-o-to-thong-nhieu-huong-1700292645705,"Thanh Xuân, Hà Nội","Bán nhà ngõ 130 Hoàng Văn Thái 57m2, mặt tiền 3,6m chỉ 8 tỷ, ngõ ô tô, thông nhiều hường",3,4,"140,35 Tr/m²"
35,https://meeyland.com//ban-nha-long-bien-duong-bat-khoi-thiet-ke-dep-35m-4-5-tang-ngo-nong-cach-o-to-20m-3-1-ty-1695027237798,"Long Biên, Hà Nội","Bán nhà Long Biên đường Bát Khối thiết kế đẹp 35m2, 4,5 tầng, ngõ nông cách ô tô 20m, 3,1 tỷ",4,3,"88,57 Tr/m²"
47,https://meeyland.com//ban-gap-nha-47m2-x-4-tang-o-nga-6-xa-dan_sat-pho_so-vuong_nhinh-4ty-1700292487244,"Đống Đa, Hà Nội","Bán gấp nhà 47m2 x 4 tầng, ở ngã 6 Xã Đàn, sát phố, sổ vuông, nhỉnh 4 tỷ",3,4,"103,19 Tr/m²"
34,https://meeyland.com//gap-gap-nha-34m2-x-5-tang-o-cho-dua-_lo-goc_3-thoang_gan-o-to_chi-4ty-1700292382305,"Đống Đa, Hà Nội","Gấp gấp nhà 34m2 x 5 tầng, Ô Chợ Dừa, lô góc, 3 thoáng, gần ô tô, chỉ 4 tỷ",4,3,"117,65 Tr/m²"
42,https://meeyland.com//ban-nha-ngo-69-hoang-van-thai-42m-x-4-tang-mt-3-9m-chi-6-5-ty-1-nha-ra-duong-o-to-tranh-1700292223987,"Thanh Xuân, Hà Nội","Bán nhà ngõ 69 Hoàng Văn Thái 42m2 x 4 tầng, mặt tiền 3,9m, chỉ 6,5 tỷ, 1 nhà ra đường ô tô tránh",4,4,"142,86 Ng/m²"
45,https://meeyland.com//hem-xe-hoi-thong-kenh-tan-hoa-3-tang-45m2-ngang-5m-gia-75tr-m2-1700282417210,"Tân Phú, Hồ Chí Minh","Hẻm xe hơi thông Kênh Tân Hóa, 3 tầng, 45m2, ngang 5m",2,2,"87,78 Tr/m²"
21,https://meeyland.com//ban-nha-tran-phu-p4-quan-5-dt-21m2-x-3-tang-4-7-x-5-gia-4-5-ty-tl-1700282142848,"Quận 5, Hồ Chí Minh","Bán nhà Trần Phú, Phường 4, Quận 5 - 21m2, 3 tầng - Giá 4,5 tỷ",2,3,"214,29 Tr/m²"
68,https://meeyland.com//ngang-khung-6m-huong-lo-2-binh-tan-gan-70m2-hxh-4-tang-5-ty-xi-1700282040782,"Bình Tân, Hồ Chí Minh","Ngang khủng 6m Hương Lộ 2 Bình Tân gần 70m2 hẻm xe hơi 4 tầng 5,4 tỷ",4,4,"79,41 Tr/m²"
26,https://meeyland.com//ban-nha-pho-thinh-quang-dong-da-gan-pho-o-to-do-cua-4-tang-26m2-gia-3-5-ty-1700281787752,"Đống Đa, Hà Nội","Bán nhà phố Thịnh Quang, Đống Đa, gần phố, ô tô đỗ cửa 4 tầng 26m2 giá 3,5 tỷ",3,2,"134,62 Tr/m²"
60,https://meeyland.com//ban-gap-nha-phan-lo-dg-lk-mau-luong-kien-hung-60m2-x-5t-4-ngu-full-noi-that-gara-o-to-dan-xay-1700281394409,"Hà Đông, Hà Nội","Bán gấp nhà phân lô ĐG – Liền kề Mậu Lương, Kiến Hưng 60m2, 5 tầng, 4 ngủ full nội thất, gara ô tô, dân xây",5,4,"148,33 Tr/m²"
72,https://meeyland.com//ban-nha-hem-xe-tai-6m-tinh-lo-10-binh-tri-dong-a-binh-tan-dt-72m2-x-3-tang-5-8-6-x-12-2-gia-1700280345724,"Bình Tân, Hồ Chí Minh","Bán nhà hẻm xe tải 6m, Tỉnh Lộ 10, Bình Trị Đông A, Bình Tân, 72m2, 3 tầng",3,4,"69,31 Tr/m²"
113,https://meeyland.com//sieu-pham-dong-tien-tai-ngo-402-duong-my-dinh-nam-tu-lem-1700279873634,"Nam Từ Liêm, Hà Nội","Siêu phẩm dong tiền tại ngõ 402 đường Mỹ Đình, Nam Từ Lêm",24,24,"238,94 Tr/m²"
37,https://meeyland.com//nha-dep-ngoc-lam-khong-gian-song-chat-thong-mipec-cau-chuong-duong-5t-chi-nhinh-5-ty-1700279780079,"Long Biên, Hà Nội","Nhà đẹp Ngọc Lâm, không gian sống chất, thông Mipec, cầu Chương Dương 5 tầng",,3,"137,84 Tr/m²"
60,https://meeyland.com//ban-nha-1-hem-xe-hoi-quang-trung-4x16m-2-tang-btct-nha-moi-4-7-ty-1700279717955,"Gò Vấp, Hồ Chí Minh","Bán nhà 1/ hẻm xe hơi, Quang Trung, 4m x 16m, 2 tầng, nhà mới 4,7 tỷ",2,3,"78,33 Tr/m²"
51,https://meeyland.com//ban-51m-nam-du-linh-nam-tang-nha-cach-pho-5m-hoang-mai-1700279715485,"Hoàng Mai, Hà Nội",Bán 51m2 Nam Dư Lĩnh Nam tặng nhà cách phố 5m Hoàng Mai,2,2,"68,63 Tr/m²"
43,https://meeyland.com//ban-gap-nha-hem-256-phuong-12-go-vap-43m2-hem-3-gac-gia-re-ban-nhanh-nhinh-3-ty-1700279479911,"Gò Vấp, Hồ Chí Minh","Bán gấp nhà hẻm 256 Phường 12, Gò Vấp 43m2, hẻm 3 gác giá rẻ bán nhanh, giá 3 tỷ",2,2,"69,77 Tr/m²"
38,https://meeyland.com//ban-nha-to-28-thi-tran-dong-anh-moi-xay-tra-1-ty-nhan-nha-1694659750240,"Đông Anh, Hà Nội",Bán nhà tổ 28 thị trấn Đông Anh mới xây trả 1 tỷ nhận nhà,3,4,"62,89 Tr/m²"
50,https://meeyland.com//thanh-khoan-nhanh-nha-phan-lo-dv-lk-mau-luong-kien-hung-50m2-x-7t-6-ngu-full-noi-that-thang-may-1700278716633,"Hà Đông, Hà Nội","Thanh khoản nhanh nhà phân lô dịch vụ – Liền kề Mậu Lương, Kiến Hưng 50m2, 7 tầng, khoản nhanh nhà phân lô",6,6,220 Tr/m²
30,https://meeyland.com//can-ban-gap-nha-pho-hoa-bang-30m2-5t-mt-rong-gan-o-to-nhinh-4-ty-1697644300620,"Cầu Giấy, Hà Nội","Cần bán gấp nhà phố Hoa Bằng 30m2, 5 tầng, mặt tiền rộng , gần ô tô, giá 4,48 tỷ",4,3,"149,33 Tr/m²"
72,https://meeyland.com//mat-tien-lo-goc-kinh-doanh-khu-dan-tri-sam-uat-canh-nga-tu-1697604915306,"Gò Vấp, Hồ Chí Minh","Mặt tiền lô góc kinh doanh. Khu dân trí sầm uất, cạnh ngã tư",2,2,"235,97 Tr/m²"
145,https://meeyland.com//ban-nha-thi-tran-dong-anh-ha-noi-4-tang-gia-re-2023-1694750195312,"Đông Anh, Hà Nội","Bán nhà thị trấn Đông Anh, Hà Nội 4 tầng giá rẻ 2023",3,4,"17,59 Tr/m²"
65,https://meeyland.com//nha-moi-5-tang-hem-2-oto-tranh-pho-am-thuc-phan-xich-long-gaaos-ban-ngop-bank-1697676405880,"Phú Nhuận, Hồ Chí Minh",Nhà mới 5 tầng hẻm 2 ô tô tránh. Phố ẩm thực Phan Xích Long,6,5,"196,77 Tr/m²"
66,https://meeyland.com//nha-dep-don-tet-ban-nha-moi-3-tang-do-xuan-hop-66m2-4-5x14-6m-5-1-ty-tl-1700278436564,"Quận 9, Hồ Chí Minh","Nhà đẹp đón Tết bán nhà mới 3 tầng Đỗ Xuân Hợp, 66m2, 5,1 tỷ",,4,"77,27 Tr/m²"
60,https://meeyland.com//ban-nha-2-tang-sat-kiet-oto-5m-dau-ngay-dem-ha-khe-thanh-khe-1700278378136,"Thanh Khê, Đà Nẵng","Bán nhà 2 tầng sát kiệt ô tô 5m đậu ngày đêm Hà Khê, Thanh Khê",3,3,"39,17 Tr/m²"
30,https://meeyland.com//ban-nha-phu-my-nam-tu-liem-30m2-4-35-ty-nha-dep-1700278068823,"Nam Từ Liêm, Hà Nội","Bán nhà Phú Mỹ, Nam Từ Liêm, 30m2, giá 4,35 tỷ, nhà đẹp",3,3,"1,45 Tỷ/m²"
170,https://meeyland.com//ngop-nang-ban-gap-nha-mat-tien-quoc-lo-1k-linh-xuan-thu-duc-170m2-chi-nhinh-9-ty-bao-dau-tu-1700261945590,"Thủ Đức, Hồ Chí Minh","Bán gấp nhà mặt tiền Quốc Lộ 1K Linh Xuân, Thủ Đức 170m2. Chỉ nhỉnh 9 tỷ bao đầu tư",1,2,"55,88 Tr/m²"
63,https://meeyland.com//nha-63-m2-2-tang-3pn-nha-hoan-cong-phap-ly-chuan-chinh-hxh-ma-co-4-1-ty-1700260262063,"Thủ Đức, Hồ Chí Minh","Nhà 63 m2, 2 tầng 3 ngủ, nhà hoàn công pháp lý chuẩn chỉnh, hẻm xe hơi mà có 4,1 tỷ",3,3,"65,08 Tr/m²"
80,https://meeyland.com//hxh-gan-nguyen-thi-thap-phuong-phu-thuan-q7-4m-x-20m-tret-lau-1700258764915,"Quận 7, Hồ Chí Minh","Bán nhà hẻm xe hơi gần Nguyễn Thị Thập, Phường Phú Thuận, Quận 7",2,2,"52,5 Tr/m²"
36,https://meeyland.com//ban-nha-lac-trung-36m2-xay-6-tang-thang-may-chi-hon-5-ty-1700188437840,"Hai Bà Trưng, Hà Nội","Bán nhà Lạc Trung, 36m2 xây 6 tầng thang máy chỉ hơn 5 tỷ",3,3,"152,78 Tr/m²"
45,https://meeyland.com//can-ban-can-nha-tai-minh-khai-1700251030987,"Hai Bà Trưng, Hà Nội",Cần bán căn nhà tại Minh Khai,2,4,"125,56 Tr/m²"
89,https://meeyland.com//can-ban-nha-89m2-tai-khu-vuc-thanh-xuan-ha-noi-1700250832482,"Thanh Xuân, Hà Nội","Cần bán nhà 89m2 tại khu vực Thanh Xuân, Hà Nội",,,"155,06 Tr/m²"
75,https://meeyland.com//can-ho-fpt-plaza-2-da-nang-gia-sap-san-1700243281519,"Ngũ Hành Sơn, Đà Nẵng",Căn hộ FPT Plaza 2 Đà Nẵng giá sập sàn,2,2,"7,47 Tr/m²"
37,https://meeyland.com//ban-nha-hem-xe-hoi-tinh-lo-10-binh-tri-dong-binh-tan-dt-37m2-x-2-tang-5-5-x-6-2-gia-2-6-ty-tl-1700242625694,"Bình Tân, Hồ Chí Minh","Bán nhà hẻm xe hơi, Tỉnh Lộ 10, Bình Trị Đông, Bình Tân, 37m2, 2 tầng. Giá 2,6 tỷ",2,2,"70,27 Tr/m²"
54,https://meeyland.com//gap-ban-nha-6-tang-btct-ly-chinh-thang-quan-3-vua-o-vua-kd-20tr-th-truoc-nha-6m-54m2-chi-8-xx-ty-1700241633502,"Quận 3, Hồ Chí Minh","Gấp bán nhà 6 tầng Lý Chính Thắng, Quận 3, vừa ở vừa kinh doanh 20 triệu/tháng, trước nhà 6m, 54m2, chỉ 8,x tỷ",5,5,"166,48 Tr/m²"
24,https://meeyland.com//ban-nha-hem-xe-hoi-chien-luoc-binh-tri-dong-binh-tan-dt-24-22m2-x-2-tang-3-x-8-gia-2-35-ty-1700241530382,"Bình Tân, Hồ Chí Minh","Bán nhà hẻm xe hơi, Chiến Lược, Bình Trị Đông, Bình Tân 24/22m2, 2 tầng. Giá 2,35 tỷ",2,2,"97,92 Tr/m²"
32,https://meeyland.com//trung-tam-my-dinh-dan-xay-ngo-nong-gan-mat-pho-1700241170562,"Nam Từ Liêm, Hà Nội",Trung tâm Mỹ Đình dân xây ngõ nông gần mặt phố,3,3,"154,69 Tr/m²"
